Date_HPSC,pred_pool,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-27,9084.783063649042,6978.062466460844,12023.85882524731,9084.783063649042,9084.783063649042,437.52945832469106,437.52945832469106,437.52945832469106,437.52945832469106,437.52945832469106,437.52945832469106,0.0,0.0,0.0,9522.312521973732
2021-03-28,9112.09062341024,6592.824301816951,11148.198216486313,9112.09062341024,9112.09062341024,-244.82348598574328,-244.82348598574328,-244.82348598574328,-244.82348598574328,-244.82348598574328,-244.82348598574328,0.0,0.0,0.0,8867.267137424496
2021-03-29,9139.398183171439,5894.171798684662,10576.89137370278,9139.398183171439,9139.398897489316,-718.016012901101,-718.016012901101,-718.016012901101,-718.016012901101,-718.016012901101,-718.016012901101,0.0,0.0,0.0,8421.382170270339
2021-03-30,9166.70574293264,6133.577964608704,10779.303875069072,9166.696163345863,9167.03546301573,-698.595728617007,-698.595728617007,-698.595728617007,-698.595728617007,-698.595728617007,-698.595728617007,0.0,0.0,0.0,8468.110014315633
2021-03-31,9194.013302693838,7194.612115414005,11701.560418877545,9193.72899685441,9194.907825680843,165.4898801045459,165.4898801045459,165.4898801045459,165.4898801045459,165.4898801045459,165.4898801045459,0.0,0.0,0.0,9359.503182798384
2021-04-01,9221.320862455037,7441.066363665408,11956.817030527118,9220.521120676662,9223.159033954225,414.9319108436044,414.9319108436044,414.9319108436044,414.9319108436044,414.9319108436044,414.9319108436044,0.0,0.0,0.0,9636.252773298642
2021-04-02,9248.628422216232,7540.7459101215345,12359.687023790655,9247.255407954457,9251.320579336554,643.4839782333589,643.4839782333589,643.4839782333589,643.4839782333589,643.4839782333589,643.4839782333589,0.0,0.0,0.0,9892.11240044959
2021-04-03,9275.935981977433,7446.656690237109,12062.565462428585,9273.692893246329,9279.778087763101,437.5294583245563,437.5294583245563,437.5294583245563,437.5294583245563,437.5294583245563,437.5294583245563,0.0,0.0,0.0,9713.465440301989
2021-04-04,9303.243541738631,6695.086019037341,11357.536752284985,9300.070832973523,9307.835237045181,-244.82348598645723,-244.82348598645723,-244.82348598645723,-244.82348598645723,-244.82348598645723,-244.82348598645723,0.0,0.0,0.0,9058.420055752174
2021-04-05,9330.55110149983,6258.594824582142,10870.635372643987,9326.707219529866,9336.10745878475,-718.0160129007634,-718.0160129007634,-718.0160129007634,-718.0160129007634,-718.0160129007634,-718.0160129007634,0.0,0.0,0.0,8612.535088599067
2021-04-06,9357.858661261029,6260.246852596585,11013.668954261084,9352.959410170959,9364.45784876821,-698.5957286164723,-698.5957286164723,-698.5957286164723,-698.5957286164723,-698.5957286164723,-698.5957286164723,0.0,0.0,0.0,8659.262932644557
2021-04-07,9385.166221022228,7045.198895597983,11997.222840812577,9379.23364059245,9392.928566532226,165.4898801049623,165.4898801049623,165.4898801049623,165.4898801049623,165.4898801049623,165.4898801049623,0.0,0.0,0.0,9550.65610112719
2021-04-08,9412.473780783428,7289.54931251759,12054.585259285785,9405.321230621032,9421.437357374394,414.93191084249247,414.93191084249247,414.93191084249247,414.93191084249247,414.93191084249247,414.93191084249247,0.0,0.0,0.0,9827.405691625921
2021-04-09,9439.781340544627,7869.238068910678,12466.550365614301,9430.90968708081,9449.954845458802,643.483978233867,643.483978233867,643.483978233867,643.483978233867,643.483978233867,643.483978233867,0.0,0.0,0.0,10083.265318778494
2021-04-10,9467.088900305822,7459.7613386729545,12171.174601472714,9457.269359039317,9478.664165268683,437.52945832442157,437.52945832442157,437.52945832442157,437.52945832442157,437.52945832442157,437.52945832442157,0.0,0.0,0.0,9904.618358630243
2021-04-11,9494.396460067022,7008.095597380542,11455.51817028637,9482.880275641282,9507.785785321537,-244.82348598653766,-244.82348598653766,-244.82348598653766,-244.82348598653766,-244.82348598653766,-244.82348598653766,0.0,0.0,0.0,9249.572974080485
2021-04-12,9521.704019828221,6415.465732554283,11046.621422253771,9508.13728082957,9536.745427088337,-718.0160129012864,-718.0160129012864,-718.0160129012864,-718.0160129012864,-718.0160129012864,-718.0160129012864,0.0,0.0,0.0,8803.688006926935
2021-04-13,9549.01157958942,6506.711001594816,11412.54815111485,9533.892642416855,9565.493562521426,-698.5957286184199,-698.5957286184199,-698.5957286184199,-698.5957286184199,-698.5957286184199,-698.5957286184199,0.0,0.0,0.0,8850.415850971
2021-04-14,9576.319139350619,7130.118076681966,12184.10621016671,9559.2664150701,9594.354786653412,165.48988010537872,165.48988010537872,165.48988010537872,165.48988010537872,165.48988010537872,165.48988010537872,0.0,0.0,0.0,9741.809019455997
2021-04-15,9603.626699111817,7591.0394451815355,12432.622578398876,9585.105669831928,9623.922876805304,414.93191084276475,414.93191084276475,414.93191084276475,414.93191084276475,414.93191084276475,414.93191084276475,0.0,0.0,0.0,10018.558609954582
2021-04-16,9630.934258873018,7916.363339175488,12575.352830668468,9610.838333640684,9652.42072762035,643.4839782330791,643.4839782330791,643.4839782330791,643.4839782330791,643.4839782330791,643.4839782330791,0.0,0.0,0.0,10274.418237106096
