Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2020/08/07 11:00:00+00,253810,658098,404288,29684,4.5,4980,25043,408,1.6,143
2020/08/08 11:00:00+00,255930,662978,407048,29821,4.5,4880,26617,492,1.8,144
2020/08/09 11:00:00+00,257717,667085,409368,29876,4.5,4107,27593,493,1.8,145
2020/08/10 11:00:00+00,259256,670959,411703,29936,4.5,3874,28426,477,1.7,146
2020/08/11 11:00:00+00,261982,674985,413003,29989,4.4,4026,30461,524,1.7,147
2020/08/12 11:00:00+00,265198,680828,415630,30069,4.4,5843,32543,552,1.7,148
2020/08/13 11:00:00+00,268038,687900,419862,30132,4.4,7072,34782,542,1.6,149
2020/08/14 11:00:00+00,270560,699237,428677,30270,4.3,11337,41139,586,1.4,150
2020/08/15 11:00:00+00,272744,709890,437146,30392,4.3,10653,46912,571,1.2,151
2020/08/16 11:00:00+00,274508,720242,445734,30481,4.2,10352,53157,605,1.1,152
2020/08/17 11:00:00+00,276314,725775,449461,30651,4.2,5533,54816,715,1.3,153
2020/08/18 11:00:00+00,279075,730114,451039,30682,4.2,4339,55129,693,1.3,154
2020/08/19 11:00:00+00,282276,736306,454030,30772,4.2,6192,55478,703,1.3,155
2020/08/20 11:00:00+00,285356,747722,462366,30914,4.1,11416,59822,782,1.3,156
2020/08/21 11:00:00+00,287831,760802,472971,31008,4.1,13080,61565,738,1.2,157
2020/08/22 11:00:00+00,290101,767560,477459,31165,4.1,6758,57670,773,1.3,158
2020/08/23 11:00:00+00,292007,772998,480991,31288,4,5438,52756,807,1.5,159
2020/08/24 11:00:00+00,293817,777836,484019,31380,4,4838,52061,729,1.4,160
2020/08/25 11:00:00+00,296623,782851,486228,31481,4,5015,52737,799,1.5,161
2020/08/26 11:00:00+00,300223,790499,490276,31586,4,7648,54193,814,1.5,162
2020/08/27 11:00:00+00,303544,802773,499229,31715,4,12274,55051,801,1.5,163
2020/08/28 11:00:00+00,306557,815076,508519,31822,3.9,12303,54274,814,1.5,164
2020/08/29 11:00:00+00,309183,825016,515833,31935,3.9,9940,57456,770,1.3,165
2020/08/30 11:00:00+00,311394,830675,519281,31984,3.9,5659,57677,696,1.2,166
2020/08/31 11:00:00+00,313303,840015,526712,32143,3.8,9340,62179,763,1.2,167
2020/09/01 11:00:00+00,316293,844907,528614,32233,3.8,4892,62056,752,1.2,168
2020/09/02 11:00:00+00,319982,852208,532226,32338,3.8,7301,61709,752,1.2,169
2020/09/03 11:00:00+00,323512,864709,541197,32475,3.8,12501,61936,760,1.2,170
2020/09/04 11:00:00+00,326646,878773,552127,32630,3.7,14064,63697,808,1.3,171
2020/09/05 11:00:00+00,329455,890095,560640,32784,3.7,11322,65079,849,1.3,172
2020/09/06 11:00:00+00,331483,900438,568955,32958,3.7,10343,69763,974,1.4,173
2020/09/07 11:00:00+00,333647,906691,573044,33190,3.7,6253,66676,1047,1.6,174
2020/09/08 11:00:00+00,337102,913369,576267,33309,3.6,6678,68462,1076,1.6,175
2020/09/09 11:00:00+00,341203,924118,582915,33465,3.6,10749,71910,1127,1.6,176
2020/09/10 11:00:00+00,345211,936481,591270,33587,3.6,12363,71772,1112,1.5,177
2020/09/11 11:00:00+00,348881,949554,600673,33814,3.6,13073,70781,1184,1.7,178
2020/09/12 11:00:00+00,352652,961784,609132,34062,3.5,12230,71689,1278,1.8,179
2020/09/13 11:00:00+00,354970,971599,616629,34279,3.5,9815,71161,1321,1.9,180
2020/09/14 11:00:00+00,357221,981487,624266,34540,3.5,9888,74796,1350,1.8,181
2020/09/15 11:00:00+00,360768,989607,628839,34851,3.5,8120,76238,1542,2,182
2020/09/16 11:00:00+00,365342,1001848,636506,35122,3.5,12241,77730,1657,2.1,183
2020/09/17 11:00:00+00,369508,1016511,647003,35370,3.5,14663,80030,1783,2.2,184
2020/09/18 11:00:00+00,373126,1031017,657891,35658,3.5,14506,81463,1844,2.3,185
2020/09/19 11:00:00+00,376789,1045397,668608,35855,3.4,14380,83613,1793,2.1,186
2020/09/20 11:00:00+00,379441,1057535,678094,36247,3.4,12138,85936,1968,2.3,187
2020/09/21 11:00:00+00,381619,1067566,685947,36501,3.4,10031,86079,1961,2.3,188
2020/09/22 11:00:00+00,385786,1080149,694363,36800,3.4,12583,90542,1949,2.2,189
2020/09/23 11:00:00+00,390534,1092820,702286,37116,3.4,12671,90972,1994,2.2,190
2020/09/24 11:00:00+00,394777,1107176,712399,37499,3.4,14356,90665,2129,2.3,191
2020/09/25 11:00:00+00,398316,1121714,723398,37929,3.4,14538,90697,2271,2.5,192
2020/09/26 11:00:00+00,401967,1133522,731555,38331,3.4,11808,88125,2476,2.8,193
2020/09/27 11:00:00+00,404891,1145400,740509,38713,3.4,11878,87865,2466,2.8,194
2020/09/28 11:00:00+00,407509,1155266,747757,39002,3.4,9866,87700,2501,2.9,195
2020/09/29 11:00:00+00,411790,1167939,756149,39281,3.4,12673,87790,2481,2.8,196
2020/09/30 11:00:00+00,416381,1181186,764805,39721,3.4,13247,88366,2605,2.9,197
2020/10/01 11:00:00+00,420649,1195710,775061,40232,3.4,14524,88534,2733,3.1,198
2020/10/02 11:00:00+00,424431,1208383,783952,40690,3.4,12673,86669,2761,3.2,199
2020/10/03 11:00:00+00,428355,1222004,793649,41300,3.4,13621,88482,2969,3.4,200
2020/10/04 11:00:00+00,431187,1233299,802112,41725,3.4,11295,87899,3012,3.4,201
2020/10/05 11:00:00+00,433864,1245465,811601,42228,3.4,12166,90199,3226,3.6,202
2020/10/06 11:00:00+00,438439,1257111,818672,42744,3.4,11646,89172,3463,3.9,203
2020/10/07 11:00:00+00,443129,1271653,828524,43369,3.4,14542,90467,3648,4,204
2020/10/08 11:00:00+00,447954,1287533,839579,44122,3.4,15880,91823,3890,4.2,205
2020/10/09 11:00:00+00,452464,1304055,851591,44979,3.4,16522,95672,4289,4.5,206
2020/10/10 11:00:00+00,456665,1319689,863024,45926,3.5,15634,97685,4626,4.7,207
2020/10/11 11:00:00+00,459615,1327687,868072,46508,3.5,7998,94388,4783,5.1,208
2020/10/12 11:00:00+00,462489,1341675,879186,47506,3.5,13988,96210,5278,5.5,209
2020/10/13 11:00:00+00,466734,1356980,890246,48395,3.6,15305,99869,5651,5.7,210
2020/10/14 11:00:00+00,471870,1373235,901365,49666,3.6,16255,101582,6297,6.2,211
2020/10/15 11:00:00+00,476541,1386663,910122,50632,3.7,13428,99130,6510,6.6,212
2020/10/16 11:00:00+00,480786,1404421,923635,52008,3.7,17758,100366,7029,7,213
2020/10/17 11:00:00+00,484965,1423461,938496,53515,3.8,19040,103772,7589,7.3,214
2020/10/18 11:00:00+00,487970,1439601,951631,54666,3.8,16140,111914,8158,7.3,215
2020/10/19 11:00:00+00,490681,1453992,963311,55636,3.8,14391,112317,8130,7.2,216
2020/10/20 11:00:00+00,494982,1468668,973686,56541,3.8,14676,111688,8146,7.3,217
2020/10/21 11:00:00+00,499923,1485447,985524,57653,3.9,16779,112212,7987,7.1,218
2020/10/22 11:00:00+00,504968,1503281,998313,58688,3.9,17834,116618,8056,6.9,219
2020/10/23 11:00:00+00,508948,1520993,1012045,59724,3.9,17712,116572,7716,6.6,220
2020/10/24 11:00:00+00,512976,1538899,1025923,60699,3.9,17906,115438,7184,6.2,221
2020/10/25 11:00:00+00,515760,1554671,1038911,61621,4,15772,115070,6955,6,222
2020/10/26 11:00:00+00,518141,1568935,1050794,62359,4,14264,114943,6723,5.8,223
2020/10/27 11:00:00+00,521112,1580370,1059258,62894,4,11435,111702,6353,5.7,224
2020/10/28 11:00:00+00,525837,1591540,1065703,63551,4,11170,106093,5898,5.6,225
2020/10/29 11:00:00+00,530437,1606856,1076419,64334,4,15316,103575,5646,5.5,226
2020/10/30 11:00:00+00,533937,1620657,1086720,65018,4,13801,99664,5294,5.3,227
2020/10/31 11:00:00+00,537593,1634953,1097360,65692,4,14296,96054,4993,5.2,228
2020/11/01 11:00:00+00,540104,1646021,1105917,66231,4,11068,91350,4610,5,229
2020/11/02 11:00:00+00,542507,1657095,1114588,66625,4,11074,88160,4266,4.8,230
2020/11/03 11:00:00+00,546560,1667595,1121035,67016,4,10500,87225,4122,4.7,231
2020/11/04 11:00:00+00,550764,1680187,1129423,67633,4,12592,88647,4082,4.6,232
2020/11/05 11:00:00+00,555118,1692033,1136915,68083,4,11846,85177,3749,4.4,233
2020/11/06 11:00:00+00,559050,1703848,1144798,68585,4,11815,83191,3567,4.3,234
2020/11/07 11:00:00+00,563016,1716020,1153004,69013,4,12172,81067,3321,4.1,235
2020/11/08 11:00:00+00,565750,1725596,1159846,69460,4,9576,79575,3229,4.1,236
2020/11/09 11:00:00+00,568540,1735508,1166968,69787,4,9912,78413,3162,4,237
2020/11/10 11:00:00+00,573057,1745915,1172858,70071,4,10407,78320,3055,3.9,238
2020/11/11 11:00:00+00,577739,1756705,1178966,70489,4,10790,76518,2856,3.7,239
2020/11/12 11:00:00+00,582846,1769763,1186917,70912,4,13058,77730,2829,3.6,240
2020/11/13 11:00:00+00,587368,1781375,1194007,71435,4,11612,77527,2850,3.7,241
