Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2021/01/10 11:00:00+00,826503,2631023,1804520,155837,5.9,24485,179235,37291,20.8,299
2021/01/11 11:00:00+00,831682,2650817,1819135,158759,6,19794,178458,35014,19.6,300
2021/01/12 11:00:00+00,839869,2669762,1829893,161280,6,18945,177495,33119,18.7,301
2021/01/13 11:00:00+00,848533,2694345,1845812,165212,6.1,24583,173708,30186,17.4,302
2021/01/14 11:00:00+00,857249,2722523,1865274,169066,6.2,28178,173276,27672,16,303
2021/01/15 11:00:00+00,865122,2745356,1880234,172482,6.3,22833,168790,25932,15.4,304
2021/01/16 11:00:00+00,873396,2772019,1898623,175592,6.3,26663,165481,23943,14.5,305
2021/01/17 11:00:00+00,879159,2793460,1914301,178460,6.4,21441,162437,22623,13.9,306
2021/01/18 11:00:00+00,884202,2811651,1927449,180337,6.4,18191,160834,21578,13.4,307
2021/01/19 11:00:00+00,891601,2830869,1939268,182121,6.4,19218,161107,20841,12.9,308
2021/01/20 11:00:00+00,900541,2855165,1954624,184907,6.5,24296,160820,19695,12.2,309
2021/01/21 11:00:00+00,909012,2878361,1969349,187225,6.5,23196,155838,18159,11.7,310
2021/01/22 11:00:00+00,918110,2902550,1984440,189309,6.5,24189,157194,16827,10.7,311
2021/01/23 11:00:00+00,926304,2924042,1997738,191235,6.5,21492,152023,15643,10.3,312
2021/01/24 11:00:00+00,932082,2943635,2011553,192764,6.5,19593,150175,14304,9.5,313
2021/01/25 11:00:00+00,936895,2958519,2021624,193849,6.6,14884,146868,13512,9.2,314
2021/01/26 11:00:00+00,943590,2975184,2031594,194802,6.5,16665,144315,12681,8.8,315
2021/01/27 11:00:00+00,952925,2997571,2044646,196470,6.6,22387,142406,11563,8.1,316
2021/01/28 11:00:00+00,961085,3019351,2058266,198057,6.6,21780,140990,10832,7.7,317
2021/01/29 11:00:00+00,969381,3041294,2071913,199540,6.6,21943,138744,10231,7.4,318
2021/01/30 11:00:00+00,977913,3062892,2084979,200961,6.6,21598,138850,9726,7,319
2021/01/31 11:00:00+00,984168,3080541,2096373,202114,6.6,17649,136906,9350,6.8,320
2021/02/01 11:00:00+00,988849,3095588,2106739,202945,6.6,15047,137069,9096,6.6,321
2021/02/02 11:00:00+00,995704,3111917,2116213,203914,6.6,16329,136733,9112,6.7,322
2021/02/03 11:00:00+00,1003675,3130359,2126684,205118,6.6,18442,132788,8648,6.5,323
2021/02/04 11:00:00+00,1011630,3150573,2138943,206401,6.6,20214,131222,8344,6.4,324
2021/02/05 11:00:00+00,1020539,3170851,2150312,207411,6.5,20278,129557,7871,6.1,325
2021/02/06 11:00:00+00,1028751,3190348,2161597,208487,6.5,19497,127456,7526,5.9,326
2021/02/07 11:00:00+00,1033959,3205725,2171766,209443,6.5,15377,125184,7329,5.9,327
2021/02/08 11:00:00+00,1038401,3218422,2180021,210223,6.5,12697,122834,7278,5.9,328
2021/02/09 11:00:00+00,1045405,3233548,2188143,211040,6.5,15126,121631,7126,5.9,329
2021/02/10 11:00:00+00,1052991,3251761,2198770,212136,6.5,18213,121402,7018,5.8,330
2021/02/11 11:00:00+00,1060661,3269133,2208472,212999,6.5,17372,118560,6598,5.6,331
2021/02/12 11:00:00+00,1068806,3287974,2219168,213985,6.5,18841,117123,6574,5.6,332
2021/02/13 11:00:00+00,1075715,3306148,2230433,215048,6.5,18174,115800,6561,5.7,333
2021/02/14 11:00:00+00,1081190,3320598,2239408,215800,6.5,14450,114873,6357,5.5,334
2021/02/15 11:00:00+00,1085443,3332050,2246607,216445,6.5,11452,113628,6222,5.5,335
2021/02/16 11:00:00+00,1092177,3345169,2252992,217216,6.5,13119,111621,6176,5.5,336
2021/02/17 11:00:00+00,1099893,3362291,2262398,218154,6.5,17122,110530,6018,5.4,337
2021/02/18 11:00:00+00,1107086,3378120,2271034,218972,6.5,15829,108987,5973,5.5,338
2021/02/19 11:00:00+00,1114695,3395156,2280461,219808,6.5,17036,107182,5823,5.4,339
2021/02/20 11:00:00+00,1121432,3410762,2289330,220652,6.5,15606,104614,5604,5.4,340
2021/02/21 11:00:00+00,1127105,3425663,2298558,221416,6.5,14901,105065,5616,5.3,341
2021/02/22 11:00:00+00,1131881,3437491,2305610,222025,6.5,11828,105441,5580,5.3,342
2021/02/23 11:00:00+00,1138327,3451332,2313005,222670,6.5,13841,106163,5454,5.1,343
2021/02/24 11:00:00+00,1145868,3467939,2322071,223386,6.4,16607,105648,5232,5,344
2021/02/25 11:00:00+00,1153542,3486145,2332603,224131,6.4,18206,108025,5159,4.8,345
2021/02/26 11:00:00+00,1161354,3505323,2343969,224927,6.4,19178,110167,5119,4.6,346
2021/02/27 11:00:00+00,1168239,3523596,2355357,225628,6.4,18273,112834,4976,4.4,347
2021/02/28 11:00:00+00,1174260,3536698,2362438,226291,6.4,13102,111035,4875,4.4,348
2021/03/01 11:00:00+00,1178716,3548908,2370192,226797,6.4,12210,111417,4772,4.3,349
2021/03/02 11:00:00+00,1185351,3560588,2375237,227220,6.4,11680,109256,4550,4.2,350
2021/03/03 11:00:00+00,1192828,3575865,2383037,227893,6.4,15277,107926,4507,4.2,351
2021/03/04 11:00:00+00,1199888,3590109,2390221,228445,6.4,14244,103964,4314,4.1,352
2021/03/05 11:00:00+00,1207151,3606749,2399598,229060,6.4,16640,101426,4133,4.1,353
2021/03/06 11:00:00+00,1213861,3620074,2406213,229526,6.3,13325,96478,3898,4,354
2021/03/07 11:00:00+00,1219414,3633830,2414416,229971,6.3,13756,97132,3680,3.8,355
2021/03/08 11:00:00+00,1223877,3644512,2420635,230435,6.3,10682,95604,3638,3.8,356
2021/03/09 11:00:00+00,1231094,3658097,2427003,230889,6.3,13585,97509,3669,3.8,357
2021/03/10 11:00:00+00,1238645,3673689,2435044,231495,6.3,15592,97824,3602,3.7,358
2021/03/11 11:00:00+00,1246248,3689439,2443191,232082,6.3,15750,99330,3637,3.7,359
2021/03/12 11:00:00+00,1253355,3705938,2452583,232705,6.3,16499,99189,3645,3.7,360
